,sid,age,AA,EL,RR,video,gender,parent_ed,condition,types,types2,tokens,tokens2,TTR,TTR2,MTLD,MTLD2
19,111716_08,0.5073059362166671,0.24393738977072302,0.5310846560846559,0.33068783068783103,mis_jugetes,F,-0.53661993482059,exp,69,69.0,159,159.0,0.433962264150943,0.4339622641509434,36.738636363636395,36.73863636363636
20,120416_03,-0.19680365278333303,-0.13106261022927698,-0.0939153439153442,-1.1693121693121697,classificando,M,-0.53661993482059,con,69,68.0,162,164.0,0.42592592592592604,0.4146341463414634,18.1793275217933,18.636363636363637
21,091316_05,0.477168950216666,,,,ruidos,M,-1.9676064276754999,con,122,122.0,386,386.0,0.31606217616580295,0.3160621761658031,38.701817116061,38.701817116060965
22,012017_06,0.321004566216667,0.118937389770723,-0.343915343915344,-0.7943121693121691,mis_jugetes,M,0.8943665580343171,con,40,40.0,105,105.0,0.38095238095238104,0.38095238095238093,11.8222748815166,11.822274881516588
23,042416_04,-0.0461187217833334,-0.631062610229277,0.0310846560846558,-0.29431216931216897,give_me_toy,F,0.8943665580343171,exp,69,69.0,257,261.0,0.26848249027237403,0.26436781609195403,18.8571428571429,17.866666666666667
24,120416_06,0.10182648421666698,0.493937389770723,0.5310846560846559,-0.7943121693121691,classificando,F,-0.53661993482059,con,46,46.0,74,74.0,0.621621621621622,0.6216216216216216,63.760147601476,63.76014760147602
25,012017_07,-0.314611871783333,0.118937389770723,0.5310846560846559,0.205687830687831,a_recoger,F,-1.9676064276754999,con,45,44.0,109,124.0,0.412844036697248,0.3548387096774194,10.7385893126796,7.294117647058823
26,091316_04,-0.0570776257833334,,,,mis_jugetes,F,-0.53661993482059,con,86,86.0,226,226.0,0.380530973451327,0.3805309734513274,29.2258713136729,29.225871313672926
27,042716_01,0.11004566221666699,0.368937389770723,-0.5939153439153441,-0.29431216931216897,classificando,M,0.8943665580343171,exp,74,74.0,209,209.0,0.354066985645933,0.35406698564593303,16.2576121794872,16.257612179487182
28,111716_04,0.515525114216667,0.618937389770723,-0.0939153439153442,-2.2943121693121697,mis_jugetes,F,0.17887331160686298,con,46,46.0,92,92.0,0.5,0.5,29.464994775339605,29.464994775339605
