,sid,MTLD,HDD,types,tokens,TTR,len_sentence
53,102518_3,22.76101696357171,0.7680463799539096,126,318,0.39622641509433965,4.3561643835616435
54,101218_2,29.201264952440432,0.7695423680126547,93,194,0.4793814432989691,4.409090909090909
55,101218_3,17.25261969847581,0.7241856973023015,105,237,0.4430379746835443,4.388888888888889
56,110218_7,12.522368421052631,0.6811933868478758,92,248,0.3709677419354839,5.391304347826087
57,090518_1,20.305555555555557,0.6907497467116148,81,172,0.47093023255813954,3.3076923076923075
58,090618_5,27.249097472924184,0.7926829933255984,123,255,0.4823529411764706,3.984375
59,101818_4,14.39494382022472,0.6245638111881014,86,243,0.35390946502057613,4.2631578947368425
60,101818_5,19.262556663644602,0.7387606367244439,91,202,0.4504950495049505,3.642857142857143
61,110818_1,20.027472527472526,0.5902782496200041,74,270,0.2740740740740741,4.655172413793103
62,101218_5,17.207729468599034,0.7029652916776703,102,299,0.3411371237458194,3.397727272727273
63,101218_4,15.389231499051233,0.626689639603189,90,267,0.33707865168539325,4.171875
64,110218_1,3.8125,0.3424717142805153,41,183,0.22404371584699453,3.893617021276596
65,011218_1,15.521150887790693,0.537692456104476,61,189,0.32275132275132273,3.2758620689655173
66,110418_3,13.118663594470046,0.5821442208784962,92,383,0.2402088772845953,4.195652173913044
67,090618_3,10.114551822958127,0.63365476286592,59,120,0.49166666666666664,2.2363636363636363
68,090618_2,32.55382311486962,0.7572351943338628,78,131,0.5954198473282443,3.638888888888889
69,101818_2,20.457690165942758,0.6743065775559309,120,411,0.291970802919708,6.134328358208955
70,091318_2,20.75132898296992,0.6736493402191003,85,221,0.38461538461538464,4.723404255319149
71,110818_6,9.818181818181818,0.6389269434809034,65,117,0.5555555555555556,2.659090909090909
72,090418_6,23.08664204370576,0.7156628993440577,82,203,0.4039408866995074,3.123076923076923
73,091818_4,10.415686274509804,0.6373643841615386,75,166,0.45180722891566266,3.772727272727273
74,102818_2,10.5,0.609170323383053,39,63,0.6190476190476191,3.0
75,091118_7,29.236229287953428,0.7228017558224571,97,213,0.45539906103286387,4.26
76,102618_1,25.089065708418893,0.6215571151959408,81,306,0.2647058823529412,5.15
77,102518_5,14.610657764362227,0.6892378047566461,74,170,0.43529411764705883,3.62
78,102518_4,55.50284247203375,0.8197831832464632,119,203,0.5862068965517241,3.3934426229508197
79,113018_3,21.82142857142857,0.7517070899661357,77,141,0.5460992907801419,3.2045454545454546
80,092018_6,18.709829626948697,0.7096363555922878,113,316,0.3575949367088608,6.076923076923077
81,101718_1,16.29967502321263,0.6387755793760272,91,322,0.2826086956521739,5.278688524590164
82,090618_1,50.22237669720039,0.8085043525852664,155,357,0.4341736694677871,5.1
83,110418_4,10.8,0.595332590061382,37,59,0.6271186440677966,2.8636363636363638
