"","sid","types","tokens","TTR","MTLD","condition","video","age","gender","parent_ed","AA","EL","RR"
"48","050116_01",81,207,0.391304347826087,22.0352348993289,"exp","classificando",-0.0378995437833334,"F",-1.25211318124804,-0.506062610229277,-0.343915343915344,-0.419312169312169
"49","121516_04",96,292,0.328767123287671,20.1619047619048,"exp","mis_jugetes",0.726484018216667,"F",0.894366558034317,-0.256062610229277,0.531084656084656,0.0806878306878307
"50","111716_02",102,245,0.416326530612245,19.0453980099502,"exp","give_me_toy",-0.183105022783334,"F",0.894366558034317,0.868937389770723,0.281084656084656,0.705687830687831
"51","121516_01",64,206,0.310679611650485,9.58658008658009,"exp","orchestra",0.611415525216667,"F",0.894366558034317,0.368937389770723,-0.218915343915344,-0.0443121693121693
"52","110416_05",60,151,0.397350993377483,11.6845238095238,"con","mis_jugetes",0.225114155216667,"F",-0.53661993482059,-0.256062610229277,0.156084656084656,1.33068783068783
"53","120916_03",96,173,0.554913294797688,38.7715723873442,"con","orchestra",0.266210045216667,"F",-0.53661993482059,0.618937389770723,-0.968915343915344,-0.0443121693121693
"54","101416_09",69,364,0.18956043956044,16.3741440475208,"exp","classificando",-0.158447488783333,"M",0.894366558034317,0.868937389770723,0.156084656084656,-0.0443121693121693
"55","120416_02",43,263,0.163498098859316,10.3176923076923,"exp","mis_jugetes",0.688127854216667,"M",-1.25211318124804,-0.131062610229277,0.531084656084656,0.848544973544974
"56","110416_04",68,103,0.660194174757282,66.9163973413013,"con","a_recoger",-0.300913241783333,"F",-1.9676064276755,0.368937389770723,-0.0939153439153442,-0.0443121693121693
"57","092216_03",75,179,0.418994413407821,21.1319444444444,"con","give_me_toy",-0.174885844783333,"M",0.894366558034317,NA,NA,NA
"58","042416_02",50,203,0.246305418719212,10.063404453149,"exp","classificando",0.362100456216667,"F",0.894366558034317,-0.256062610229277,-0.218915343915344,0.830687830687831
"59","101416_04",51,116,0.439655172413793,13.05,"exp","a_recoger",-0.500913241783333,"M",0.894366558034317,-0.506062610229277,0.281084656084656,-0.419312169312169
"60","091316_03",75,183,0.409836065573771,28.3295257874697,"con","classificando",-0.221461186783333,"F",0.894366558034317,0.243937389770723,0.531084656084656,0.830687830687831
